name,url,credit,links_work,updated,best
Westside Gunn,1_dFPF4tSdIuwRUj_UXUFz5qeNVJm-9lCl3zhIGXt0wI,slothsavedearth,1,1,false
Lucy Bedroque,1IlkdclBbOLonkadTBc_N-nK4XFEjKA8ZfIfK35dFNLc,xer6,1,1,false
Zara Larsson,1AzOHpA6h-uoabqX4xxju4Xq-5K35SG04RKPKF_jqD_4,leok & Dula Peep,1,1,false
Taylor Swift [Alt 2],1jpgnxjwrAKEuhze8UC8r8Ax2ZdNgGRdVZ_REQg3L-hU,@aviciinternational,0,0,false
Jane Remover,1Khs6UKAHJZrl3W307iX2J9M4DVqP7lJgAeEFBIcEp_Q,"themusicnerdguy, shadz, slayer, gerald3",1,1,false
Post Malone,1oFFGtGJ7liKPbw_Y9uAxbxzGDq_UQNDnNMDb-qQZS80,@InDe_eD @lxns  @skyupsahl,0,1,false
Che [Alt],15RBhwcNw09EpZYcpaScWXQLzUfkgA59uHnny2X8tTzk,fitz & Zero (sheneedaride),2,1,false
OsamaSon [Alt #2],1BHj4XdCBtEGd7s7txGV8V6JOlVJ6tyXqJ9I_kcYI3bA,"asakufoxlsd, Roses",1,0,false
Beyoncé & Destiny's Child,1j-dbqoDK6muD2wtXoYNzN5eKPXDy1gjnZ7S4m6dhvZI,"Jeen, noa & raymeta12",2,0,false
Chappell Roan,1B9LyEOxwHps2QhA_HdOZXhPFJb0m2DXCcH7bdZAVvCM,"klhrfan, vex",1,1,false
Death Grips,1Eh-9UyWUtyEpi_ELEhq5pD41ivFJHuQcvz2wFR2ml9g,UnLuckyJanek,1,1,false
50 Cent,1UBHQ067bIEDH3TapHIt3MCdwDNRe30Qv0VdBP9JLgFM,"G-Man Junior, Franki8000, Kali Kush, GrimR3xx, HighSpeedChase, OnlyTwentyCharacters, Loony, B4CON, Iceman & Ares",1,1,true
Andre 3000/Outkast,1GH87oWsiQezDEkXDjq9kya1yRK-2WkWXPnYReRpMvjA,Genesis,2,1,false
The Notorious B.I.G,1fDQXnTEIqzApYAY7GH6AwZOA2Zmt8TFKiVMyCgBa4iA,@Jay Z,0,0,false
Justin Bieber,1-EAV2AkFQLqr1xwVTO9n8ihYAwoEBj5x0Gzs4E1Lk-o,@JBieber & @MarioProtIV,1,1,false
ADÉLA,1CEyGJ3XVuThzGoptRxtN3vdE2bCjv7LP0Z9-kg5JF1o,wildandalooone,1,1,false
Glocky,1LcX3fXSz9YB_EMuAA4OEWGJBj77OH1GC3J-n-jQSfyc,"x2loreeh, mazzo, p3rcsanity, slymekiddo",1,1,false
Juice WRLD [Info],1I6g2jrFdxIoYraZqnJ6NfivVHQXLmHR29rFvTAymE_E,Darthh,0,1,false
Nas,1TnALmkQdRX_spdUMLLamizAZYD3rERO_iGGzCqD-A6M,"troabroa, yeezus528",1,1,false
FKA Twigs,1_zSdp4xOod1SgHvFlZYxzwcTXc2PRKGU-fpfcsavkoA,wildandalooone,1,1,false
Kodak Black,16LkLZ3miXfNGzQLI_3_X2zJsf6vb4-Ye7g02MwqdZOo,@Cocaine,0,1,false
Clairo,1kq8hg7NZlBOpahmTq5r24LIAT6JbRIXrXmKy7dObH9M,"mizticaltoez, andygump211, jaiwashere, hillchapel",1,1,false
Adele,1rKcQZG8TYqMzqQBtb6xlvCdqZMdo8B6s-_t8KuhhsWc,wa1meabay,1,1,false
Juice WRLD [Alt #3],14iOJlHRgLj8CoiPv_n9uAms85ougSkSBUh7iNJVeNDs,@SONICBEAST @In_DeeD,0,0,false
Kim Petras,1kgHmWZM1oMR0DQUet8RtTNssVMVi77YvofHlh6F5sfg,Jeen,1,1,false
Bladee,1skAByFoveXb7PussjJWUBnyl5H8K79LoNpLslRTttNU,@VXSMC,1,1,false
Edward Skeletrix,1CnfVdc37A81ZX7lUs4L-J2JfqaW2z3pbkR2W6dRuFS0,"belal, ThunderingSandwiches32",1,1,false
Ethel Cain,17fA8CEizs7IWvFrcWsN8b9XMz2FPw3r3Gum80BZksRY,"slayla1, angel, hospitalbeds, missinghimin4k",1,1,false
$uicideBoy$,17EjN1Q4F-FcKGWmZcjDYtCHk9VxwbHVhSrNyzxIb3xk,geeked,2,1,false
Charli XCX [Alt],1Km4wQjafB0z57XuIYtFW2HN0zGtGzv-bRYB6VtSZfU8,@XCX Archivist @kiwieater @Raupeka,0,0,false
Future [Alt #3],1HGv5U1Tf4HhEvVW0WNmGm0Q6BkRi37Gkhowz-OHJe40,@FGB @Slixx56,0,0,false
Chance The Rapper,1GdfybfLFKseuArE_Mz9iO4AatmAYWIKahn_vwGR-nTc,"x3mili, chanoguide, king.dar1us., slothsavedearth",1,1,false
Joji,1FPlWbXnx94y5FODJ2qniLf0BzViNSAmj6Xdfw1ZNwQ4,justjaelyn,1,1,true
Molly Santana,1PdwgmVxY945J_-2BrM2K-HAHz2Lg5dh3fEm9ADJLHUU,"partysallover, thinkdeepdontsink",1,1,false
Charli XCX [Alt #2],1CPS-eYOvFW-TncZblCyOzo0fTcvNJ2-yFt-Qmteg0H0,Jeen,1,0,false
Harry Styles,1U6Bmxw6_uy6SqKfe-YqpqgVBaWKSzD4bnUZ9vNA5p5s,hesftdt94,1,1,false
Ashnikko,1_u4QwBwudX9sJQBULs3fGw_RQqEdusSc2DbZrJ5geNw,"slayla1, tyler, cyborg.jake, mitinys",1,1,false
Ice Spice,1nZWLn1Y1_GyAE6DdG5gm3Yf49XKyFJ5lGEPczhZPHFw,lioaf,1,1,false
Avicii,1eRRDzWDa01hT1P9wEYnOwkNihCkoCOfdh8vF6_OPQ34,@OptimalRegion,1,1,false
NBA Youngboy [Alt],1Dvj7Qp4_cCKUiiddmEYxIBe1pIt2YLPuCdOxA1U_a8A,kingtut_90031 on disc,2,1,false
Bryson Tiller,1oBhoj7x3pWHaGBtF2m3qmyc83_5QcNc0QYDmzs5K1nY,lioaf,2,1,false
Bleood,1tRZR2LW8OoQ0Q9QCcDdOZA4gGHXqfLOGzAr7sKKpHSI,"slemns, lukie",1,1,false
Central Cee,1mH-0v-9TvMsxeX86n2e3Mcg5h553Mh0oWuZK0jiXVQ8,DarkStakerz,1,1,false
Ohsxanta,1djKmvGVPWh54IZ-Z3kUUtxi5tsH6ZDjnXG1t6pZ82e4,slemns,1,1,false
Lancey Foux,19dsAkkH8w7nBx6ZST8d1UAAvCJTNgKBfyNxdoWiXH3E,Jeen,1,1,false
Selena Gomez,10NdIn1iVdHxt0XbZmssh7pw7p7bsbFML6hwDIF4hMvU,"@selenaontop, SF12 on disc",1,1,false
Yung Lean,1bAAb6E7_r-9TWlHuKY_re-KZwU2yt_3tbWGTZcKu_Wc,"outpan, temperevelas",1,1,true
